user_id,persona,occupation,monthly_income,monthly_expenses,savings,average_balance,digital_transactions,cash_transactions,income_variance,expense_ratio,savings_ratio,emi_ratio,missed_payments,income_growth,financial_tier
GL00001,Rajesh,Delivery Partner,42271,40136,2006,12180,109,21,Medium,0.9495,0.0475,0.2495,0,Declining,Building
GL00002,Rajesh,Delivery Partner,35873,29107,3950,21062,70,25,Medium,0.8114,0.1101,0.1879,1,Declining,Building
GL00003,Rajesh,Delivery Partner,42104,26912,2984,12350,128,16,Medium,0.6392,0.0709,0.2382,1,Stable,Building
GL00004,Rajesh,Delivery Partner,41557,29596,7477,13727,131,19,Medium,0.7122,0.1799,0.1155,0,Stable,Building
GL00005,Rajesh,Delivery Partner,43666,39399,2572,14868,75,23,Low,0.9023,0.0589,0.2428,2,Declining,Building
GL00006,Rajesh,Delivery Partner,37169,36113,1003,14278,129,20,Low,0.9716,0.027,0.197,2,Declining,Building
GL00007,Rajesh,Delivery Partner,43663,28542,6217,17360,94,18,Medium,0.6537,0.1424,0.2489,3,Declining,Building
GL00008,Rajesh,Delivery Partner,34528,33271,1194,16187,119,28,Low,0.9636,0.0346,0.2336,0,Declining,Building
GL00009,Rajesh,Delivery Partner,42993,20662,3927,15127,74,28,Medium,0.4806,0.0913,0.1062,3,Stable,Building
GL00010,Rajesh,Delivery Partner,32550,31671,835,15815,72,20,Medium,0.973,0.0257,0.2721,2,Stable,Building
GL00011,Rajesh,Delivery Partner,39485,30063,2439,17727,80,19,Medium,0.7614,0.0618,0.2894,0,Declining,Building
GL00012,Rajesh,Delivery Partner,42308,32378,4181,11656,110,18,Medium,0.7653,0.0988,0.1689,0,Declining,Building
GL00013,Rajesh,Delivery Partner,43079,39908,2907,14215,78,19,High,0.9264,0.0675,0.2802,1,Stable,Building
GL00014,Rajesh,Delivery Partner,37791,22999,2763,10100,94,27,Medium,0.6086,0.0731,0.1518,1,Stable,Building
GL00015,Rajesh,Delivery Partner,44049,35679,2094,9875,106,25,Low,0.81,0.0475,0.194,1,Declining,Building
GL00016,Rajesh,Delivery Partner,38577,28006,7328,20349,126,25,Low,0.726,0.19,0.1334,3,Declining,Building
GL00017,Rajesh,Delivery Partner,41318,36686,2387,9898,137,25,Medium,0.8879,0.0578,0.1908,1,Declining,Building
GL00018,Rajesh,Delivery Partner,33111,26707,5134,20154,128,24,Medium,0.8066,0.1551,0.2624,0,Declining,Building
GL00019,Rajesh,Delivery Partner,38101,19141,3003,20034,81,15,Medium,0.5024,0.0788,0.2284,1,Declining,Building
GL00020,Rajesh,Delivery Partner,43492,39569,3712,20510,133,26,Low,0.9098,0.0853,0.2585,3,Declining,Building
GL00021,Rajesh,Delivery Partner,40452,36548,2001,14054,111,18,Medium,0.9035,0.0495,0.2692,0,Stable,Building
GL00022,Rajesh,Delivery Partner,38679,30834,3891,18991,109,26,Medium,0.7972,0.1006,0.1671,3,Declining,Building
GL00023,Rajesh,Delivery Partner,34888,29421,3149,12446,88,20,Medium,0.8433,0.0903,0.1904,0,Stable,Building
GL00024,Rajesh,Delivery Partner,36959,31803,2948,15174,126,17,Low,0.8605,0.0798,0.2481,2,Declining,Building
GL00025,Rajesh,Delivery Partner,36888,35382,1430,13946,77,17,Medium,0.9592,0.0388,0.2505,3,Declining,Building
GL00026,Rajesh,Delivery Partner,35613,29993,3074,8065,82,20,Low,0.8422,0.0863,0.2785,3,Declining,Building
GL00027,Rajesh,Delivery Partner,38378,32241,2434,13110,78,25,Medium,0.8401,0.0634,0.2945,1,Stable,Building
GL00028,Rajesh,Delivery Partner,34736,22283,2352,21270,105,19,Medium,0.6415,0.0677,0.2164,3,Declining,Building
GL00029,Rajesh,Delivery Partner,32123,28297,3022,8840,128,16,Medium,0.8809,0.0941,0.2223,1,Declining,Building
GL00030,Rajesh,Delivery Partner,35136,29008,3290,12243,118,29,High,0.8256,0.0936,0.2402,0,Declining,Building
GL00031,Rajesh,Delivery Partner,42829,24031,2760,8916,120,24,Medium,0.5611,0.0644,0.1894,2,Stable,Building
GL00032,Rajesh,Delivery Partner,32827,26776,2703,13556,120,29,Medium,0.8157,0.0823,0.2009,0,Stable,Building
GL00033,Rajesh,Delivery Partner,37787,21357,7859,17108,115,28,Low,0.5652,0.208,0.1485,3,Declining,Emerging
GL00034,Rajesh,Delivery Partner,42088,31986,3575,17391,130,29,High,0.76,0.0849,0.2372,1,Stable,Building
GL00035,Rajesh,Delivery Partner,42695,21091,4742,15958,130,17,Medium,0.494,0.1111,0.117,0,Stable,Emerging
GL00036,Rajesh,Delivery Partner,37163,18001,6608,15595,91,16,Medium,0.4844,0.1778,0.2257,3,Stable,Building
GL00037,Rajesh,Delivery Partner,35199,24829,2325,20900,127,29,High,0.7054,0.0661,0.2204,1,Stable,Building
GL00038,Rajesh,Delivery Partner,33347,18680,5605,8156,86,27,Medium,0.5602,0.1681,0.2575,0,Stable,Building
GL00039,Rajesh,Delivery Partner,41537,30558,6212,11701,116,24,Low,0.7357,0.1496,0.2906,3,Declining,Building
GL00040,Rajesh,Delivery Partner,33020,20855,5390,20962,111,28,Medium,0.6316,0.1632,0.2796,1,Declining,Building
GL00041,Rajesh,Delivery Partner,39809,28109,4492,15997,106,25,Medium,0.7061,0.1128,0.2179,0,Stable,Building
GL00042,Rajesh,Delivery Partner,42785,26920,3636,18812,110,24,Medium,0.6292,0.085,0.148,2,Declining,Building
GL00043,Rajesh,Delivery Partner,32469,25403,2005,14470,100,15,Medium,0.7824,0.0618,0.1839,0,Stable,Building
GL00044,Rajesh,Delivery Partner,44387,30400,5086,17750,138,19,High,0.6849,0.1146,0.2219,2,Declining,Building
GL00045,Rajesh,Delivery Partner,42724,31756,7137,17937,138,28,Medium,0.7433,0.167,0.1698,3,Declining,Building
GL00046,Rajesh,Delivery Partner,40406,33124,4600,21809,124,16,Medium,0.8198,0.1138,0.2745,0,Stable,Building
