user_id,occupation,monthly_income,monthly_expenses,savings,average_balance,digital_transactions,cash_transactions,income_variance,expense_ratio,savings_ratio,emi_ratio,financial_buffer,financial_score,missed_payments,income_growth,financial_tier
GL00001,Delivery Partner,42594,27669,3879,8228,123,25,Medium,0.6496,0.0911,0.2028,0.2974,3,3,Declining,Building
GL00002,Delivery Partner,34190,23837,4791,17004,88,23,Medium,0.6972,0.1401,0.1456,0.7133,4,0,Declining,Building
GL00003,Delivery Partner,34017,32785,1170,15995,135,30,Low,0.9638,0.0344,0.275,0.4879,1,2,Declining,Building
GL00004,Delivery Partner,35431,19929,2718,12654,98,17,Low,0.5625,0.0767,0.2708,0.635,2,3,Stable,Building
GL00005,Delivery Partner,41597,31646,6173,14815,130,25,Medium,0.7608,0.1484,0.1406,0.4681,3,3,Declining,Building
GL00006,Delivery Partner,35050,27668,3458,15789,93,22,Medium,0.7894,0.0987,0.2475,0.5707,0,2,Stable,Building
GL00007,Delivery Partner,42629,35360,4022,21184,127,28,Medium,0.8295,0.0943,0.2706,0.5991,1,1,Stable,Building
GL00008,Delivery Partner,33047,27435,2694,9961,133,25,Medium,0.8302,0.0815,0.1705,0.3631,1,2,Declining,Building
GL00009,Delivery Partner,32974,17169,7537,11318,72,24,Low,0.5207,0.2286,0.2403,0.6592,4,2,Stable,Building
GL00010,Delivery Partner,44121,23273,3870,20796,134,18,High,0.5275,0.0877,0.2724,0.8936,3,2,Declining,Building
GL00011,Delivery Partner,38559,24403,3704,21038,101,19,Medium,0.6329,0.0961,0.15,0.8621,3,3,Stable,Building
GL00012,Delivery Partner,34786,31196,2000,19187,117,19,Medium,0.8968,0.0575,0.1069,0.615,3,2,Declining,Building
GL00013,Delivery Partner,32040,25375,6114,9831,120,16,Medium,0.792,0.1908,0.1806,0.3874,1,2,Stable,Building
GL00014,Delivery Partner,37498,19828,4154,11505,97,18,Medium,0.5288,0.1108,0.2753,0.5802,2,1,Stable,Building
GL00015,Delivery Partner,36205,18453,4665,14172,82,19,Low,0.5097,0.1288,0.2991,0.768,4,0,Stable,Building
GL00016,Delivery Partner,43409,36203,3799,13777,70,26,Low,0.834,0.0875,0.2422,0.3805,0,2,Declining,Building
GL00017,Delivery Partner,41787,25870,3295,21432,102,27,Medium,0.6191,0.0789,0.2238,0.8284,3,2,Declining,Building
GL00018,Delivery Partner,41959,39114,2384,8601,130,17,Medium,0.9322,0.0568,0.266,0.2199,1,1,Declining,Building
GL00019,Delivery Partner,40124,32444,3258,20984,102,28,Medium,0.8086,0.0812,0.2828,0.6468,1,2,Declining,Building
GL00020,Delivery Partner,35148,31278,2448,20915,102,28,Low,0.8899,0.0696,0.1488,0.6687,3,2,Declining,Building
GL00021,Delivery Partner,38299,37069,1168,18967,136,26,Medium,0.9679,0.0305,0.1247,0.5117,3,3,Stable,Building
GL00022,Delivery Partner,41179,36496,3767,15901,136,30,High,0.8863,0.0915,0.1834,0.4357,1,2,Declining,Building
GL00023,Delivery Partner,43113,27143,3356,19823,89,25,Medium,0.6296,0.0778,0.182,0.7303,2,3,Declining,Building
GL00024,Delivery Partner,35482,17432,6996,13912,80,17,Low,0.4913,0.1972,0.2398,0.7981,4,0,Stable,Building
GL00025,Delivery Partner,36085,24018,6385,9561,134,30,Medium,0.6656,0.1769,0.1348,0.3981,5,0,Stable,Emerging
GL00026,Delivery Partner,32045,22671,4628,15999,136,15,Medium,0.7075,0.1444,0.1165,0.7057,3,2,Declining,Building
GL00027,Delivery Partner,39782,38337,1372,16462,116,23,Medium,0.9637,0.0345,0.1381,0.4294,3,1,Declining,Building
GL00028,Delivery Partner,37320,17715,6196,16906,125,24,Medium,0.4747,0.166,0.2813,0.9543,3,3,Declining,Building
GL00029,Delivery Partner,44016,31845,4305,12672,116,29,Medium,0.7235,0.0978,0.1938,0.3979,3,0,Declining,Building
GL00030,Delivery Partner,35915,17756,7698,10724,133,24,Medium,0.4944,0.2143,0.2079,0.604,5,1,Stable,Emerging
GL00031,Delivery Partner,40346,36973,2614,13169,122,18,Medium,0.9164,0.0648,0.2242,0.3562,1,3,Declining,Building
GL00032,Delivery Partner,42154,34317,6818,10928,137,15,Medium,0.8141,0.1617,0.2338,0.3184,1,2,Declining,Building
GL00033,Delivery Partner,38543,37367,1117,20410,129,26,Medium,0.9695,0.029,0.2707,0.5462,1,1,Declining,Building
GL00034,Delivery Partner,41747,24948,3674,18621,94,29,Medium,0.5976,0.088,0.22,0.7464,2,3,Stable,Building
GL00035,Delivery Partner,44518,24449,5346,12102,126,15,Medium,0.5492,0.1201,0.268,0.495,3,1,Stable,Building
GL00036,Delivery Partner,34504,19694,2144,9202,79,27,Medium,0.5708,0.0621,0.1111,0.4672,6,0,Declining,Emerging
